# u	Institution	Region	Country
1	seoul national university	seoul	KR
2	korea university	seoul	KR
7	yonsei university	seoul	KR
23	korea advanced institute of science and technology	daejeon	KR
37	university of minnesota	minneapolis	US
43	university of illinois	chicago	US
45	hallym university	chuncheon	KR
55	university of alabama at birmingham	brimingham	US
56	the university of texas	austin	US
57	university of rhode island	kingston	US
58	university of ulsan	ulsan	KOREA
59	university of colorado	boulder	US
60	gwangju institute of science and technology	gwangju	KR
63	university of medicine and dentistry of new jersey	newark	US
64	chonnam national university	gwangju	KOREA
65	universite pierre-et-marie-curie	paris	FR
66	montana state university	boston	US
67	chonnam national university	yeosu	KR
68	state university of new york	new york	US
69	kyoto university	kyoto	JP
70	kyung hee university	seoul	KR
71	university of california	davis	US
72	rockefeller university	newyork	US
73	sungkyunkwan university	suwon	KR
76	duke university	durham	US
