# u	Institution	Region	Country
1	seoul national university	seoul	KR
2	korea university	seoul	KR
3	university of wisconsin-madison	madison	US
4	north carolina state university	raleigh	US
5	university of southern california	los angeles	US
6	hongik university	seoul	KR
7	yonsei university	seoul	KR
8	pohang university of science and technology	pohang	KR
9	university of tsukuba	tsukuba	JP
10	university of florida	gainesville	US
11	university of pensylvania	philadelphia	US
12	ajou university	gyeonggi-do	KR
14	university of texas at austin	austin	US
15	georgia institute of technology	atlanta	US
16	seokyeong university	seoul	KR
17	university of michigan	ann arbor	KR
18	rutgers university	piscataway	US
19	university of michigan	ann arbor	US
20	university of southern california	los aangeles	US
21	texas a&m university	college station	US
22	baekseok university	cheonanl	KR
23	korea advanced institute of science and technology	daejeon	KR
24	dongguk university	seoul	KOREA
25	university of utah	salt lake city	US
26	ulsan national institute of science and technology	ulsan	KR
27	cornell university	ithaca	US
28	myongji university	seoul	KR
30	university of california irvine	irvine	US
31	sunghyunkwan university	seoul	KR
32	chung-ang university	seoul	KR
