# u	Institution	Region	Country
1	seoul national university	seoul	KR
2	korea university	seoul	KR
8	pohang university of science and technology	pohang	KR
14	university of texas at austin	austin	US
23	korea advanced institute of science and technology	daejeon	KR
27	cornell university	ithaca	US
70	kyung hee university	seoul	KR
73	sungkyunkwan university	suwon	KR
77	soongsil university	seoul	KR
78	brandeis university	waltham	US
79	pusan national university	pusan	KR
81	university of rochester	rochester	US
82	university of california	san diego	US
83	ohio state university	columbus	US
84	university of notre dame	notre dame	US
85	university of pennsylvania	philadelphia	US
86	yale university	new haven	US
87	harvard university	cambridge	US
88	university of tokyo	tokyo	JP
89	stony brook university	stony brook	US
90	university of california	berkeley	US
